roger;A;1;Game 
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
John coach1;b;0;Reserved for coaching by 
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
nouser;noskill;1;Free
